created_at,text,lang,source,id,reply_settings,author_id,conversation_id,public_metrics,search_query,geo,referenced_tweets,in_reply_to_user_id
2016-12-28T10:41:45.000Z,"#Happy #birth #day..... #Sidhu #daaaaaaa.| | #প্রায়, 14/15 বছর.. একভাবে একে ওপরের কাজে বন্ধুত্তপূর্ন ভাবে পাশে থাকা l http://someurl",bn,Twitter for Android,814058752244674560,everyone,2599615148,814058752244674560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",#happy,,,
2016-12-27T16:28:56.000Z,@someuser নতুন বছরে ©সুখ কামনা থাকলো @someuser New Year#### http://someurl,bn,Twitter for Android,813783734487019521,everyone,810521996694056960,813783734487019521,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#happy,,,
2016-12-23T09:22:37.000Z,#Happy  :)  থাকার অনেক কারন আছে | কিন্ত #Happy :( না থাকার #এক টা কারন | #Happy থাকার সব কারন গুলা কে তিলে তিলে মারছে — feeling #BujheNha,bn,Facebook,812226899678294016,everyone,1372629433,812226899678294016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#happy,,,
2016-12-22T14:28:14.000Z,"কাপাসিয়ায়,,| ।।| | #inshot #girls #cute #summer #blur #sun #happy #fun #dog #hair #beach #hot #cool... http://someurl",bn,Instagram,811941421452296193,everyone,761974160595693568,811941421452296193,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#happy,,,
2016-12-16T04:03:39.000Z,বিজয় দিবসের শুভেচ্ছা সবাইকে| #Happy #victory #Day| লক্ষ প্রানের বিনিময়ে তোমার নামটি লেখা|  অন্ধ কারের মাঝে তুমি প্রদীপ জালাও একা| #Bangladesh http://someurl,bn,Twitter for Android,809609913433325568,everyone,2257676880,809609913433325568,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 41, 'quote_count': 0}",#happy,,,
2016-12-16T03:07:43.000Z,শুভ জন্মদিন বাংলাদেশ।| #HapPy| #Victory | #Day <3,bn,Facebook,809595835252166656,everyone,701325952962330624,809595835252166656,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#happy,,,
2016-12-14T17:15:39.000Z,কারো মুখে হাসি ফুটানোই :-):-)| #সবচাইতে_বড়_ইবাদত !| আর তা যদি নিজেই করে থাকি ......| কথায় নাই !| #Happy.... :-),bn,Facebook,809084449245773824,everyone,3038446813,809084449245773824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#happy,,,
2016-12-14T07:56:42.000Z,",,,,শুভ জন্মদিন দোস্ত,,,,| #happy #birthday #dear #friends  #ashesfan  #safa #loveu... http://someurl",bn,Instagram,808943785933737984,everyone,399851791,808943785933737984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",#happy,"{'place_id': '001aff55522d96c9', 'coordinates': {'type': 'Point', 'coordinates': [90.40280367, 23.87358023]}}",,
2016-12-12T06:30:23.000Z,বন্ধু Sapient Boy Abed এত দিনের বন্ধুত্ব ফেসবুক মাত্র ১ বছরের নিয়ে আসলো।| | #Happy #Friendsversary 🎂🎂🎂,bn,Facebook,808197287096815616,everyone,2546611432,808197287096815616,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",#happy,,,
2016-12-07T19:02:55.000Z,"#winter #instagram #instadaily #happy #smile #alone #like4like @ নতুন বাজার,বরিশাল http://someurl",bn,Instagram,806574730769797121,everyone,4483054459,806574730769797121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#happy,,,
