id,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,in_reply_to_user_id,referenced_tweets,geo
811230132329480197,811230132329480197,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Pff sommige mensen komen hun afspraken niet na, waardoor mijn planning helemaal in de war raakt #annoyed",everyone,2016-12-20T15:21:50.000Z,1588261122,Twitter for Android,nl,#annoyed,,,
808580651138117633,808580651138117633,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Waarom heeft die bus van mij altijd uren vertraging? #annoyed #blamethetraffic,everyone,2016-12-13T07:53:44.000Z,188408210,Twitter for iPhone,nl,#annoyed,,,
808279522458161152,808279522458161152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Mensen, post geen food fotos als het er niet uitziet! Please #annoyed",everyone,2016-12-12T11:57:09.000Z,856648411,Twitter for Android,nl,#annoyed,,,
806746640262385664,806746640262385664,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Mijn trein in Leuven deze week 2 minuten vroeger. Resultaat: Elke dag ong 10 min vertraging #laatdieurendangewoonzoalszezijn #annoyed #nmbs,everyone,2016-12-08T06:26:02.000Z,20139461,Twitter for iPhone,nl,#annoyed,,,
806513454374862849,806513454374862849,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@someuser waarom niet bordje ophangen bij Poelaertlift dat alletwee de liften buiten dienst zijn #annoyed,everyone,2016-12-07T14:59:26.000Z,303728134,Twitter for iPhone,nl,#annoyed,42848607,,
803876723381112832,803876723381112832,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Er zit iemand heel irritant op de vloer te tikken... just stop😫 #annoyed,everyone,2016-11-30T08:22:00.000Z,713362859024130050,Twitter for iPhone,nl,#annoyed,,,
799345935926980608,799345935926980608,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @someuser Hoe lang gaat de #Storing nog duren @someuser @someuser | | #Annoyed #Rainingnight #noseries #nomovies #ziggostoring,everyone,2016-11-17T20:18:16.000Z,149809356,Twitter for Android,nl,#annoyed,,"[{'type': 'retweeted', 'id': '799344346487279616'}]",
799344346487279616,799344346487279616,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Hoe lang gaat de #Storing nog duren @someuser @someuser | | #Annoyed #Rainingnight #noseries #nomovies #ziggostoring,everyone,2016-11-17T20:11:57.000Z,48759056,Twitter for Android,nl,#annoyed,,,
792427848619425793,792427848619425793,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser baal zo enorm van jullie! Betaal elke maand grof geld voor internet en het is gewoon bagger. | Slechte verbinding. #annoyed,everyone,2016-10-29T18:08:16.000Z,62132013,Twitter for iPhone,nl,#annoyed,155840449,,
789379233147682816,789379233147682816,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}","Fijn dat @someuser NIET ziet dat ik mijn ww onlangs zelf heb aangepast, nu MOET ik hem WEER aanpassen. #mijning #Annoyed",everyone,2016-10-21T08:14:09.000Z,330889530,Twitter Web Client,nl,#annoyed,,,
787925034639560704,787925034639560704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Jae Gu is such a dumbass. When Queen left Korea, baru nak terhegeh-hegeh #annoyed #GirlsoftheWilds",everyone,2016-10-17T07:55:41.000Z,136202727,Twitter Web Client,nl,#annoyed,,,
787823718911311872,787823718911311872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Eleen http://someurl is #bomdia #lovers_nippon #incredible #foodstagram  #annoyed,everyone,2016-10-17T01:13:06.000Z,2837268440,MEGAPO.ST,nl,#annoyed,,,
786633951095980032,786633951095980032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ik haat het als mensen zeggen dat de wiskunde richting en hun onderzoekscompetenties moeilijker zijn dan de onze 😡 #annoyed,everyone,2016-10-13T18:25:23.000Z,2596655294,Twitter for Android,nl,#annoyed,,,
784282535429672960,784282535429672960,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Waarom is er nooit verbinding in mortsel #annoyed,everyone,2016-10-07T06:41:42.000Z,2448276638,Twitter for iPhone,nl,#annoyed,,,
781111271437533184,781111271437533184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Zullen we even haast maken met dat telefoon-op-de-fiets-verbod? #Amsterdam #annoyed,everyone,2016-09-28T12:40:14.000Z,8612982,Twitter Web Client,nl,#annoyed,,,
771448601692209156,771448601692209156,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ik kan niet wachten tot dat alle insecten dood vallen. #annoyed,everyone,2016-09-01T20:44:14.000Z,333453613,Twitter for Android,nl,#annoyed,,,
770708703079268353,770708703079268353,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hebben we nou écht niks geleerd van de eerste verschrikkelijke reeks van @someuser ? Stop making stupid people famous #annoyed #houmaarop,everyone,2016-08-30T19:44:08.000Z,27241952,Twitter for iPhone,nl,#annoyed,,,
770277399892267008,770277399892267008,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @someuser: Laat is laat, maar beperk het aantal minuten dat je laat bent. Anders laat je mars gewoon thuis dan ga je niet meer #a...",everyone,2016-08-29T15:10:17.000Z,59349650,Twitter for Android,nl,#annoyed,,"[{'type': 'retweeted', 'id': '770230340011130881'}]",
770230340011130881,770230340011130881,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Laat is laat, maar beperk het aantal minuten dat je laat bent. Anders laat je mars gewoon thuis dan ga je niet meer #annoyed",everyone,2016-08-29T12:03:17.000Z,238668261,Twitter for iPhone,nl,#annoyed,,,
