created_at,text,lang,source,id,reply_settings,author_id,conversation_id,public_metrics,search_query,geo,referenced_tweets,in_reply_to_user_id
2016-12-26T05:28:38.000Z,Merry Christmas! Hehehe #fampic #scared #myfavoriteniece #saaaacurity #iwillcutyoubitch!... http://someurl,tl,Instagram,813255179176792064,everyone,106622555,813255179176792064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-12-25T19:27:56.000Z,"Que cosa mas mona, #baby #photography #cute #scared @ Amel http://someurl",pt,Instagram,813104006696316928,everyone,469423022,813104006696316928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,"{'place_id': '6c8bae6e3c0f2cd4', 'coordinates': {'type': 'Point', 'coordinates': [6.15, 50.35]}}",,
2016-12-23T08:42:00.000Z,"5 fotos incríveis, assustadoras e inexplicáveis... | #photos #imagens #scary #scared #incredible #amazing... http://someurl",pt,Facebook,812216674535505920,everyone,2697556213,812216674535505920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-30T18:11:58.000Z,passado q até os aliens curtem kpop será q estou sendo observado por elas nesse momento???? ESSA NAO #im #scared http://someurl,pt,Twitter for iPhone,804025190200049665,everyone,3199113263,804025190200049665,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-26T14:08:49.000Z,Falta menos de um mês para o Natal!| #scared #endofyear http://someurl,pt,Instagram,802514449978589184,everyone,154704056,802514449978589184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-23T14:16:41.000Z,Pelo amor de Deus alguém me tira daqui. #scared,pt,Twitter for Android,801429264205811713,everyone,473024692,801429264205811713,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-23T13:20:55.000Z,Estou até com medo de assistir @someuser @someuser #scared http://someurl,pt,Tweetbot for iΟS,801415231876530176,everyone,3354288737,801379316219211776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': '4f94eb4007314b3e'},"[{'type': 'replied_to', 'id': '801379316219211776'}]",794818751988465664
2016-11-18T01:40:36.000Z,"#scared #scars #character #stories #scaredinsideandout @ Breslau, Ontario http://someurl",pt,Instagram,799427052281667584,everyone,379749127,799427052281667584,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,"{'place_id': '0e194fe0d5b0eb7f', 'coordinates': {'type': 'Point', 'coordinates': [-80.4125, 43.4753]}}",,
2016-11-17T21:23:01.000Z,.@someuser #Fireworks boom & echo http://someurl #Scared #BANfireworks,pt,Buffer,799362227148963840,everyone,4877210758,799362227148963840,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-17T09:25:05.000Z,.@someuser #Fireworks boom & echo http://someurl #Scared #BanFireworks,pt,Buffer,799181553771442176,everyone,785165614088347648,799181553771442176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-14T17:03:41.000Z,Ditto. #sad #scared #shocked http://someurl,it,Twitter for iPhone,798209800077094912,everyone,34710138,798209800077094912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': '7d62cffe6f98f349'},"[{'type': 'quoted', 'id': '798192946281648128'}]",
2016-11-13T06:34:24.000Z,O mal dessa geração é corpo lindo e a alma feia. #scared,pt,Twitter for Android,797689048592777218,everyone,4012245466,797689048592777218,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-11T17:09:41.000Z,"O cara tem a foto de Hitler no perfil, pode isso Twitter? #scared",pt,Twitter Web Client,797124149269430273,everyone,299378073,797124149269430273,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-09T09:16:26.000Z,S H A M E  O N  T H E  U S A #Election2016 #shame #USA2016 #scared #savetheworld,pt,Twitter for iPhone,796280276884324352,everyone,795224673701232640,796280276884324352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
2016-11-09T07:57:49.000Z,E o dia começa assim... #fromtheinside #blessed #blogger #mylife #usaelections #world #scared #wtf http://someurl,pt,Instagram,796260489491791872,everyone,780677291885985792,796260489491791872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
