created_at,text,lang,source,id,reply_settings,author_id,conversation_id,public_metrics,search_query,geo,referenced_tweets,in_reply_to_user_id,withheld
2016-12-30T23:50:07.000Z,TraceeDunblazie Amazing video! Reminds me of #times when Ive been #depressed & my #cat can bring new meaning into... http://someurl,en,IFTTT,814981924804497414,everyone,4658760276,814981924804497414,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T23:49:43.000Z,@someuser Amazing video! Reminds me of #times when Ive been #depressed & my #cat can bring new meaning into my own life. http://someurl,en,Twitter Web Client,814981824233414656,everyone,2352534211,814921198219902976,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,{'place_id': 'a592bd6ceb1319f7'},"[{'type': 'replied_to', 'id': '814921198219902976'}]",481317813,
2016-12-30T23:40:28.000Z,Through my eyes you can see my heart and soul.. #Lost #Lonely #Scared #Depressed #BlackHeart... http://someurl,en,Instagram,814979497548083200,everyone,2509083964,814979497548083200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T23:20:49.000Z,"Almost New Years Eve... Ill probably spend it alone, locked in my bedroom whilst listening to music. #HAPPYNEWYEAR #depressed",en,Twitter for iPhone,814974550748397569,everyone,814078117891502080,814974550748397569,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#depressed,,,,
2016-12-30T22:25:35.000Z,"Again, #capitalism is not bad–but it isnt–& wont be good for all who lose their #job especially in a #depressed economy &or a big #layoff.",en,Hootsuite,814960654796857344,everyone,1408516842,814960654796857344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#depressed,,,,
2016-12-30T22:22:00.000Z,"To the outside world, many people who are #depressed and miserable are acting like theyre not. http://someurl via @someuser",en,Buffer,814959750626549760,everyone,24308803,814959750626549760,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T21:47:35.000Z,stage of my #life when everything loosing meaning but i dont think i am #depressed,en,Twitter Web Client,814951089632145408,everyone,587855523,814951089632145408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T21:27:53.000Z,Ive literally been in the bed all day. #depressed,en,Twitter for iPhone,814946132644261888,everyone,2760018383,814946132644261888,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#depressed,,,,
2016-12-30T20:58:29.000Z,#Depressed #Elephant Couldnt Even Sleep — Until She Made A New Friend: http://someurl ... http://someurl,en,Twitter Web Client,814938735334854656,everyone,1576599271,814938735334854656,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#depressed,,"[{'type': 'quoted', 'id': '814531767885590528'}]",,
2016-12-30T20:56:46.000Z,Having holiday for the first time in 4/5 years ... and i hate it. #NotNormal  #Depressed  #IWannaGetBackToWork,en,Twitter for Android,814938299731210242,everyone,172879668,814938299731210242,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T20:03:11.000Z,Appreciate every small move forward. ✨❤️ #motivation #happiness #peace #selflove #love #selfhelp #ego #growth #anxiety #depressed #goals http://someurl,en,Twitter for iPhone,814924815878471686,everyone,758809301410390016,814924815878471686,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T19:26:41.000Z,Missing my husband 😞#backhome #india #depressed,en,Twitter for iPhone,814915629559885824,everyone,2382348926,814915629559885824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,{'place_id': '44b7fc0bad0eae8d'},,,
2016-12-30T18:27:22.000Z,Faith and Feelings | http://someurl | | #Faith #Feelings #Feels #Anxiety #Discouraged #Depressed #Jesus #Bible #FreeGrace,en,Twitter for iPhone,814900703336472576,everyone,34646040,814900703336472576,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:46:25.000Z,Im almost dead 🔪💊 Help! 😔 Wanna be happy again 💔| #depressed #sad #lonely #alone #broken #heart... http://someurl,en,Linkis: turn sharing into growth,814890396992073729,everyone,2731402064,814890396992073729,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:45:12.000Z,Im almost dead 🔪💊 | #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling #written... http://someurl,en,Linkis: turn sharing into growth,814890092074516480,everyone,2731402064,814890092074516480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:35:55.000Z,Im almost dead 🔪💊 Help! 😔| #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling... http://someurl,en,Linkis: turn sharing into growth,814887756124004352,everyone,2731402064,814887756124004352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:35:08.000Z,Im almost dead 🔪💊| #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling #written... http://someurl,en,Linkis: turn sharing into growth,814887559469944833,everyone,2731402064,814887559469944833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:25:50.000Z,I miss you daddy #sad #unhappy #cry #crying #instasad #break #sadness #depressed #tears #badmood... http://someurl,en,Instagram,814885218003906561,everyone,701555154420682752,814885218003906561,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T17:01:17.000Z,Children with #depressed #parent and #grandparent at highest risk for major #depression: http://someurl,en,Hootsuite,814879039508905985,everyone,2382577993,814879039508905985,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#depressed,,,,
2016-12-30T16:54:23.000Z,I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. thats so pathetic & humiliating .. 💔🤧 #depressed,en,Twitter for iPhone,814877303670915072,everyone,34217118,814877303670915072,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T16:33:50.000Z,Why do I always #feel so #depressed after I finish #writing  a #story ? Can anyone #relate ? #writerslife #writer #amwriting #FridayFeeling http://someurl,en,Twitter for iPhone,814872130651324417,everyone,3346348763,814872130651324417,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",#depressed,,,,
2016-12-30T15:05:02.000Z,http://someurl| friend buying service| | #depressed| #suicide| #bipolar| #friends| #friend| #facebook| #love| #happy| #happiness| @someuser,en,Crowdfire Inc.,814849782816636928,everyone,4857624942,814849782816636928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
2016-12-30T14:34:42.000Z,Im done 🤘🏻 #cat #done #blackandwhite #depressed #life #living #alive #questions #question #cba... http://someurl,en,Instagram,814842152429744128,everyone,713005985774891012,814842152429744128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,,
