created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
2016-12-29T17:17:30.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Irony?  No #disappointed | http://someurl,814520733095362567,284198941,814520733095362567,everyone,es,#disappointed,,,
2016-12-22T19:40:24.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Quando o teu pai chega e nao traz nada para ti #Disappointed #NoMoreRespect,812019978211823616,2478814297,812019978211823616,everyone,pt,#disappointed,,,
2016-12-16T13:51:22.000Z,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Nota mental: no volver a publicar #Disappointed,809757816001019905,225237199,809757816001019905,everyone,pt,#disappointed,,,
2016-12-11T01:18:17.000Z,TweetDeck,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@someuser Que decepção, pensei que você, dentre todas as pessoas do universo poderia me responder. #disappointed",807748211939143681,129395585,807756356786814976,everyone,pt,#disappointed,"[{'type': 'replied_to', 'id': '807750526997852164'}]",22573183,
2016-12-09T02:00:42.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Abri c tanta cautela e nem era nude #disappointed,807042256028991489,198926457,807042256028991489,everyone,pt,#disappointed,,,
2016-12-08T22:35:00.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser Ja meteram o Rui Pedro :/ #disappointed http://someurl,806990487655682049,2835686635,806990487655682049,everyone,pt,#disappointed,,3958062341,
2016-12-07T09:33:13.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",as ruas já estão bué branquinhas mas é por causa do gelo #disappointed,806431361083015168,2779214366,806431361083015168,everyone,pt,#disappointed,,,
2016-12-02T23:22:37.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Começaste a perder personalidade, o que tinhas de melhor em ti. #Shameonu #Disappointed",804828145622908929,389958329,804828145622908929,everyone,pt,#disappointed,,,
2016-11-29T03:41:22.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Instituições de ensino devem ser criteriosas na escolha dos professores, pois eles podem DESTRUIR as expectativas de um aluno. #disappointed http://someurl",803443708616212481,25300090,803443708616212481,everyone,pt,#disappointed,,,
2016-11-28T15:10:07.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Globe #disappointed,803254653869637633,62478279,803254653869637633,everyone,pt,#disappointed,,,
2016-11-26T23:47:38.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@someuser estás sempre a disparar balas... por essas e por outra é q temos a merda de comunidade q temos. #disappointed 😑😣,802245700998152192,799585178423279616,802660114952048640,everyone,pt,#disappointed,"[{'type': 'replied_to', 'id': '802245700998152192'}]",2264650568,
2016-11-23T11:30:58.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",oh gosh morte eh melhor que sentir isso. #raiva #disappointed,801387563118456832,51206457,801387563118456832,everyone,pt,#disappointed,,,
2016-11-19T15:13:14.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Gloves. Oliveira #disappointed,799993945510084608,209569432,799993945510084608,everyone,pt,#disappointed,,,
2016-11-11T12:28:22.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Quando pensi di conoscere una persona e poi quella persona ti dice cose che non avresti mai pensato che potesse dire a te #disappointed,797053352400060416,280086550,797053352400060416,everyone,it,#disappointed,,,
2016-11-09T16:18:33.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",eu fugi desse demonio e morri pro dinossauro que pula #disappointed http://someurl,796386506076225537,339645443,796386506076225537,everyone,pt,#disappointed,,,
2016-11-09T14:29:39.000Z,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Qualquer semelhança não é mera coincidência! #idiocratie #disappointed #Unbelievable #unreal http://someurl,796359097515933696,108218412,796359097515933696,everyone,pt,#disappointed,,,
