author_id,created_at,reply_settings,conversation_id,id,source,text,lang,public_metrics,search_query,geo,in_reply_to_user_id,referenced_tweets
725044254372954113,2016-12-30T19:43:32.000Z,everyone,814919873503576064,814919873503576064,Instagram,"Eleve, releve, seja leve 🕊 Countdown to 2017  #onlygoodvibes #blessed #thankful #great #me... http://someurl",pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
375206356,2016-12-30T14:32:39.000Z,everyone,814841633774698496,814841633774698496,Twitter Web Client,#great sex photos nude extrem flexigirls video http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
462574489,2016-12-30T09:57:58.000Z,everyone,814772508721291265,814772508721291265,Instagram,B O M D I A 2016 DOURO  🍀 🙏| #goodtimes #douro #river #Porto ⚓⛵ #2016 #thankful #great #greatday... http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,"{'coordinates': {'type': 'Point', 'coordinates': [-8.56907, 41.12235]}, 'place_id': 'd54a39cd6263b153'}",,
383891734,2016-12-29T19:28:23.000Z,everyone,814553668947218433,814553668947218433,Instagram,Se prende 🔥| #combito #matinmiralacamarammgvo #nosfuimos #likeforlike #great #selfie #like #day... http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
350507797,2016-12-29T19:14:21.000Z,everyone,814550137922064384,814550137922064384,Twitter for iPhone,A #Great disaster ?!!......😂😂💕,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,{'place_id': '0570f015c264cbd9'},,
173703755,2016-12-29T17:29:03.000Z,everyone,814523641383833605,814523641383833605,Twitter Web Client,sex enhance #great porno sites http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
144192033,2016-12-29T15:44:31.000Z,everyone,814497334474244097,814497334474244097,Instagram,2016 ainda não terminou...... #grupomarsan #sacadaspvc #pvc #letgo #great #job #work #2016... http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,"{'coordinates': {'type': 'Point', 'coordinates': [-37.92297767, -12.44314715]}, 'place_id': '1212b013c85a8095'}",,
49787773,2016-12-29T13:05:14.000Z,everyone,814457248130994176,814457248130994176,Facebook,http://someurl #DevSecOps #GeoOp #Secret #epredicts #AWSCertifiedSolutionsArchitect-Professional #great... http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
965032514,2016-12-29T10:04:15.000Z,everyone,814411702624223232,814411702624223232,Twitter Web Client,#great anal sex mercedez santos porn http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
514167720,2016-12-29T06:37:47.000Z,everyone,814359743603085312,814359743603085312,Twitter Web Client,animaciones pornos #great sex websites http://someurl,pt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
