created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,geo,in_reply_to_user_id,referenced_tweets
2016-12-30T04:23:25.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016 में भी ईश्वर बनाती छलांग!| http://someurl| #PoliticalNewsInHindi #wonderful #Year2016 #britain http://someurl,814688316037550080,575211943,814688316037550080,everyone,hi,#wonderful,,,
2016-12-29T05:41:36.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","SubD Visit!!! #Wonderful #WeLoveGlobe @ Alcala, Cagayan http://someurl",814345602561609728,74683088,814345602561609728,everyone,hi,#wonderful,"{'coordinates': {'type': 'Point', 'coordinates': [121.654, 17.9053]}, 'place_id': '016652d92fdeef50'}",,
2016-12-24T20:43:46.000Z,Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@someuser line-,,,,,,,,,,,,| Agar dost na milte| to kabhi yakeen nhai hota ki... ajanabi log bhi apno se zyada pyare ho sakte hain. ,,,,,@someuser",812760701362126848,790252648796524544,812760701362126848,everyone,hi,#wonderful,,,
2016-12-17T01:54:59.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#land #of #peace #true #colour| #wonderful #place #jain #mandir| #instashoot #instaupload @ Achchhad http://someurl,809939919053488128,780997997626793984,809939919053488128,everyone,hi,#wonderful,,,
2016-12-16T10:51:28.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#messi #class #dribbble #wonderful #number1 #leomessi 😍😎 @ Bashundhara City http://someurl,809712542234841088,761974160595693568,809712542234841088,everyone,hi,#wonderful,,,
2016-12-14T11:14:41.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#japanese #dinner with my #wonderful #girlfriend @ Akataiyo -Japanese Restaurant http://someurl,808993609823490048,57611007,808993609823490048,everyone,hi,#wonderful,"{'coordinates': {'type': 'Point', 'coordinates': [106.70313988, 10.77833042]}, 'place_id': '0079932b106eb4c9'}",,
2016-12-11T18:08:48.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@someuser sir todays show is #KoffeeWithSalman #wonderful lakin bhai aap abhi bhi #confuse ho 💃🏼💃🏼👸🏻👸🏻👸🏻ek bar jo commitment kardi??,808010662043643905,2309623302,808010662043643905,everyone,hi,#wonderful,,132385468,
2016-12-09T09:10:29.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Tourism #Wonderful #Waterfall प्राकृतिक सुंदरता के रोमांच से भरपूर ये वाटरफॉलhttp://someurl http://someurl,807150414609072128,2776157803,807150414609072128,everyone,hi,#wonderful,,,
2016-12-08T09:54:11.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Meri saas toh rokloge lekin iss hawa  ko kaise rokoge!! #wonderful @someuser Sir. #muchlove #bestwishes | #RaeesTrailer20Million @someuser,806799024451768320,967688690,806799024451768320,everyone,hi,#wonderful,,,
2016-12-05T14:53:46.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful @ Kent Park Sakarya http://someurl,805787252424986624,1593687516,805787252424986624,everyone,hi,#wonderful,"{'coordinates': {'type': 'Point', 'coordinates': [30.42768, 40.79513]}, 'place_id': '51b84b3e175b074f'}",,
2016-11-30T04:48:54.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser @someuser @someuser @someuser ताजमहल बस एक है और अपने उत्तरप्रदेश मे है... #Beautiful & #Wonderful,803821244546220032,2860346323,803823095257632773,everyone,hi,#wonderful,,2587240482,"[{'type': 'replied_to', 'id': '803821244546220032'}]"
2016-11-26T12:56:36.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@someuser हाहा #Wonderful,802407155504558081,2772592057,802496277460066305,everyone,hi,#wonderful,,727781700520943616,"[{'type': 'replied_to', 'id': '802496023490764800'}]"
2016-11-20T17:06:21.000Z,Twitter for Android,"{'retweet_count': 29, 'reply_count': 6, 'like_count': 129, 'quote_count': 0}","और फिर निराला की राम की शक्ति पूजा सुनी,  रोम रोम झूम उठा, @someuser पूरा सप्ताह बन गया, शुक्रिया @someuser @someuser #wonderful",800384800171425792,296166494,800384800171425792,everyone,hi,#wonderful,,,
2016-11-04T15:47:39.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Green 🍃🌳 Oshino Hakkai| #nature #wonderful #amazing #thankgod #mtfuji #visitjapan #purposeoflife... http://someurl,794566790475120640,285111177,794566790475120640,everyone,hi,#wonderful,"{'coordinates': {'type': 'Point', 'coordinates': [138.83557616, 35.46053991]}, 'place_id': 'be7d16926286051d'}",,
2016-11-03T16:02:52.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Owwwaa #travelgram #tourism #instagramers #instaplace #wonderful #dubai #mycity #instamood http://someurl,794208231040151553,704715870,794208231040151553,everyone,hi,#wonderful,,,
2016-10-27T02:49:35.000Z,Twitter for Android,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Chhodh Do Tum Khud Ko Meri Baahon Mein| Jaise Hawayon Mein Baadal Koi| | #BEAUTIFUL😭❤| #Wonderful😍| #Kaabil #MindSeesAll #KaabilTrailer @someuser http://someurl,791471877554307072,882304423,791471877554307072,everyone,hi,#wonderful,,,
2016-10-22T15:48:32.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Khoobsurat Zindagi|    ka RAAZ| | Duaa Ki Jaye| Duaa Di Jaye | |      Aur| | Duaa Li Jaye| | #WONDERFUL ___-LIFE http://someurl,789855968309944320,2526859477,789855968309944320,everyone,hi,#wonderful,,,
2016-10-15T19:46:31.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Neeve - Telugu Musical Dance Video | Phani Kalyan | Gomtesh Upadhye http://someurl via @someuser #wonderful,787379145542029312,852896534,787379145542029312,everyone,hi,#wonderful,,,
2016-10-11T12:36:59.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful #Jhanki #in #Jabalpur 🙏| कालाधन वापिस लाओ http://someurl,785821497868910592,634324679,785821497868910592,everyone,hi,#wonderful,,,
2016-10-04T20:43:56.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Skradin.| #sailing #boat #croatia #wonderful #segeln #segeltörn #igersaustria #igerscroatia... http://someurl,783407327391125504,17450461,783407327391125504,everyone,hi,#wonderful,,,
