author_id,created_at,reply_settings,conversation_id,id,source,text,lang,public_metrics,search_query,geo,in_reply_to_user_id,referenced_tweets
489922515,2016-12-30T21:49:02.000Z,everyone,814951453613838337,814951453613838337,Twitter for iPhone,Que feo darte cuenta de cómo es realmente una persona cuando ya no sientes atracción por ella #disappointed,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
2753898463,2016-12-29T18:53:16.000Z,everyone,814544833113194496,814544833113194496,Twitter Web Client,Cuando en los últimos días del año cambia tu percepción de las personas 🤔 #Masksout #surprises #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
711570691787759616,2016-12-28T20:36:58.000Z,everyone,814208542903308292,814208542903308292,Twitter for Android,Cuando te traen pizza pero yA HAS CENADO #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
468735930,2016-12-27T19:11:58.000Z,everyone,813824765890883584,813824765890883584,Instagram,Rogue One = Decepción galáctica :(| #rogueone #starwars #disappointed #decepciongalactica... http://someurl,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,"{'coordinates': {'type': 'Point', 'coordinates': [-8.69096652, 43.21821998]}, 'place_id': '5ffc8700ad0a3bae'}",,
160454128,2016-12-27T04:19:27.000Z,everyone,812885585169907712,813600155643576325,Twitter for Android,"@someuser Que pasajeros de que, traigan Arrival una de las mejores del año #disappointed",es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#disappointed,,301180714,"[{'type': 'replied_to', 'id': '812885585169907712'}]"
62379734,2016-12-27T03:58:56.000Z,everyone,813594989498351616,813594989498351616,Twitter Web App,Creo que este juego no es para mi. #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
38700569,2016-12-26T04:15:40.000Z,everyone,813236813296828416,813236813296828416,Twitter for iPhone,Qué onda con este país que la noticia más importante es la final de fútbol? #disappointed #bitchplease http://someurl,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
2986800652,2016-12-24T22:17:12.000Z,everyone,812784217264422916,812784217264422916,Twitter for Android,natalia es el ejemplo de ese refran las apariencia engaña tan bonita y es otra yal cafre sin nada en la cabeza #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#disappointed,,,
1129039728,2016-12-24T13:15:46.000Z,everyone,812647958839758849,812647958839758849,Twitter for iPhone,@someuser totalmente #decepcionada #disappointed por el servicio de entrega. Realicé un pedido confirmado para Navidad y no ha llegado😥,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#disappointed,,324828920,
199516077,2016-12-24T06:39:12.000Z,everyone,812548161550110720,812548161550110720,Twitter for iPhone,"Si creían que eres el amor de mi vida duraba poco, imagínense un juntos por siempre 🙌🏼 #disappointed",es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
811947831883755521,2016-12-23T22:47:49.000Z,everyone,812429532330242048,812429532330242048,Twitter for iPhone,Lástima que ahora todo en la vida pasa por un filtro farándula antes de que le llegue a la personas #disappointed  😕,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
183523868,2016-12-23T19:31:01.000Z,everyone,812380004818554880,812380004818554880,Twitter for Android,Vuelo retrasado. Hay q esperar q los q no compraron asientos busquen dond ubicarse para despegar.No no no #RyanairInflight #disappointed —.—,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
3383355419,2016-12-23T14:26:12.000Z,everyone,812285319240445952,812303294869753857,Twitter for iPhone,@someuser @someuser nosotras aquí haciendo un esfuerzo y tú tirando ya la toalla #disappointed,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#disappointed,,4101033317,"[{'type': 'replied_to', 'id': '812295599341060098'}]"
562559628,2016-12-23T05:11:52.000Z,everyone,812163795946733571,812163795946733571,Twitter Web App,Y pensar que por ti me dormía hasta la madrugada... #disappointed #crash #broken #heart,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
2576104170,2016-12-23T03:28:34.000Z,everyone,812137798736183296,812137798736183296,Twitter for Android,#disappointed DONDE ESTA EL ALCOHOL 😡😡😡,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
346510638,2016-12-22T21:27:14.000Z,everyone,812046863868235777,812046863868235777,Twitter for iPhone,"Y cuando creía que mi perro me quería, prefirió irse con mi madre, as usual #disappointed",es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
225769015,2016-12-22T18:22:12.000Z,everyone,811996998664650752,812000298449457152,Twitter for iPhone,@someuser @someuser de acuerdo contigo No pareciera algo q MaCorina hubiera aprobado #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,118541167,"[{'type': 'replied_to', 'id': '811996998664650752'}]"
118541167,2016-12-22T18:09:05.000Z,everyone,811996998664650752,811996998664650752,Twitter Web Client,....y las tetas y los culos. #disappointed http://someurl,es,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 9, 'quote_count': 1}",#disappointed,,,"[{'type': 'quoted', 'id': '811952412017750016'}]"
2352090097,2016-12-22T16:44:05.000Z,everyone,811971905586626560,811975609777815552,Twitter Web Client,@someuser yo me sé el tuyo #disappointed,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#disappointed,,882881563,"[{'type': 'replied_to', 'id': '811972886051299329'}]"
2858412709,2016-12-21T11:43:03.000Z,everyone,811537462422106112,811537462422106112,Twitter Web Client,WTF! Camila Cabello! Quitting #fifthharmomy | NOOOOOOOOOOOOOOOOO| #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
170423487,2016-12-21T08:24:56.000Z,everyone,811487603811717120,811487603811717120,Twitter for Android,"Eres feliz, conoces alguien, funciona, pero enfermas, quiebras y eres una carga #disappointed",es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
18253355,2016-12-20T23:35:28.000Z,everyone,811354362220072964,811354362220072964,Twitter for Mac,de esas veces que tardas un par de meses en leer un artículo que te llama la atención y tómala que solo quiere vender .. #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
218166516,2016-12-20T22:01:06.000Z,everyone,811330611721990145,811330611721990145,Twitter for Android,Qué absurdo se vuelve cada vez más Arrow #disappointed 😕,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
234982361,2016-12-16T05:00:43.000Z,everyone,809624272603910144,809624272603910144,Twitter for Android,Super Mario Run ni esta tan chido... | | #disappointed,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,{'place_id': '6f1840cee437e17a'},,
882991717,2016-12-15T21:56:35.000Z,everyone,809517536127631360,809517536127631360,Twitter for iPhone,Así las cosas el día de hoy... | #Disappointed http://someurl,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
