created_at,text,geo,lang,source,id,reply_settings,author_id,conversation_id,public_metrics,search_query,referenced_tweets,in_reply_to_user_id
2016-12-30T21:10:32.000Z,"- De la selva, sus paisajes 🌞🌴 😎| | #travel #trip #amazing #nature #river #sky #skyporn #wonderful... http://someurl","{'place_id': '01f89c412a0ae775', 'coordinates': {'type': 'Point', 'coordinates': [-76.51044185, -8.18727793]}}",es,Instagram,814941767019528192,everyone,1069260102,814941767019528192,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-30T18:42:51.000Z,#AmoElMar vámonos al mar 🌊 #Wonderful #happy #Agua http://someurl,,es,Twitter for iPhone,814904600537010176,everyone,492735816,814904600537010176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
2016-12-30T14:02:51.000Z,Suggestions for improving Twitter http://someurl #futurism #science #gadgets #wonderful #Politics #Tech #... Vía Iconjurer,,es,erased138961,814834134896021505,everyone,812564976854515712,814834134896021505,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-29T22:45:19.000Z,"#Wonderful #views over #Tenerife RT @someuser Mirador de Las Teresitas, Tenerife. @someuser  @someuser http://someurl",,es,Hootsuite,814603231007358976,everyone,553744052,814603231007358976,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,,
2016-12-29T16:35:05.000Z,"#sinfiltro #wonderful #Tulimán #Mexico #landscape #mountain @ Zacatlan, Pueblo Magico Puebla, Mx http://someurl",,es,Instagram,814510059103383552,everyone,127009264,814510059103383552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-29T15:40:43.000Z,Nada mejor que despertar con esta maravillosa vista 😍| | #morning #Cusco #landscape #wonderful... http://someurl,"{'place_id': '0108cb796c965852', 'coordinates': {'type': 'Point', 'coordinates': [-71.9757722, -13.51416383]}}",es,Instagram,814496377006858240,everyone,158443971,814496377006858240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-29T15:40:12.000Z,RT http://someurl General Organas obit http://someurl #futurism #science #gadgets #wonderful ... http://someurl,,es,IFTTT,814496248455630850,everyone,777774473797742595,814496248455630850,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"[{'type': 'quoted', 'id': '814490543493419008'}]",
2016-12-29T14:20:35.000Z,#rice #field #wonderful #bali 🌴🌴🌴🌴🍚🍚🍚🍚 #spiritual #life #instamood #instagram #webstagram @ Desa... http://someurl,"{'place_id': '6dadd8fe49d7ab5f', 'coordinates': {'type': 'Point', 'coordinates': [115.187754, -8.19158]}}",es,Instagram,814476209526632449,everyone,755083579,814476209526632449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-29T02:45:05.000Z,Y de fondo la majestuosa Catedral! ✨| | #Cusco #night #cathedral #me #greatphoto #wonderful... http://someurl,"{'place_id': '0108cb796c965852', 'coordinates': {'type': 'Point', 'coordinates': [-71.97893, -13.51625]}}",es,Instagram,814301183246565376,everyone,158443971,814301183246565376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
2016-12-29T01:59:25.000Z,La maravillosa Catedral del Cusco 🙏| | #cathedral #night #amazing #wonderful #Cusco #igerscusco... http://someurl,"{'place_id': '0108cb796c965852', 'coordinates': {'type': 'Point', 'coordinates': [-71.97879553, -13.51660674]}}",es,Instagram,814289690182426624,everyone,158443971,814289690182426624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
